,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
21,0022400061,1610612738,BOS,Boston,1641775,Jordan Walsh,Jordan,,,6.000000:05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.0
22,0022400061,1610612738,BOS,Boston,1629674,Neemias Queta,Neemias,,,4.000000:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0
23,0022400061,1610612738,BOS,Boston,1631248,Baylor Scheierman,Baylor,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
24,0022400061,1610612738,BOS,Boston,1630531,Jaden Springer,Jaden,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0,0022400062,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,F,,16.000000:00,3.0,8.0,0.375,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,-8.0
1,0022400062,1610612750,MIN,Minnesota,203944,Julius Randle,Julius,F,,34.000000:19,5.0,10.0,0.5,1.0,3.0,0.333,5.0,7.0,0.714,3.0,6.0,9.0,4.0,0.0,0.0,2.0,3.0,16.0,2.0
2,0022400062,1610612750,MIN,Minnesota,203497,Rudy Gobert,Rudy,C,,35.000000:20,5.0,8.0,0.625,0.0,0.0,0.0,3.0,4.0,0.75,3.0,11.0,14.0,2.0,0.0,1.0,1.0,4.0,13.0,-10.0
3,0022400062,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,,41.000000:04,10.0,25.0,0.4,5.0,13.0,0.385,2.0,3.0,0.667,0.0,6.0,6.0,3.0,0.0,0.0,4.0,3.0,27.0,0.0
4,0022400062,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,,20.000000:13,1.0,7.0,0.143,0.0,5.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,5.0,-22.0
5,0022400062,1610612750,MIN,Minnesota,1629675,Naz Reid,Naz,,,26.000000:21,3.0,8.0,0.375,2.0,4.0,0.5,4.0,4.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,12.0,-6.0
6,0022400062,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,,,31.000000:33,3.0,11.0,0.273,2.0,8.0,0.25,2.0,4.0,0.5,1.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,10.0,-5.0
7,0022400062,1610612750,MIN,Minnesota,1629638,Nickeil Alexander-Walker,Nickeil,,,28.000000:22,5.0,7.0,0.714,3.0,4.0,0.75,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,13.0
8,0022400062,1610612750,MIN,Minnesota,204060,Joe Ingles,Joe,,,6.000000:48,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9,0022400062,1610612750,MIN,Minnesota,1642265,Rob Dillingham,Rob,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
10,0022400062,1610612750,MIN,Minnesota,1628408,PJ Dozier,PJ,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
11,0022400062,1610612750,MIN,Minnesota,1630568,Luka Garza,Luka,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
12,0022400062,1610612750,MIN,Minnesota,1631159,Leonard Miller,Leonard,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
13,0022400062,1610612750,MIN,Minnesota,1631169,Josh Minott,Josh,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
14,0022400062,1610612750,MIN,Minnesota,1630545,Terrence Shannon Jr.,Terrence,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
15,0022400062,1610612747,LAL,Los Angeles,1629060,Rui Hachimura,Rui,F,,35.000000:05,7.0,14.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,3.0,2.0,5.0,1.0,2.0,1.0,0.0,2.0,18.0,19.0
16,0022400062,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,F,,34.000000:39,7.0,16.0,0.438,1.0,4.0,0.25,1.0,1.0,1.0,0.0,5.0,5.0,4.0,0.0,2.0,2.0,3.0,16.0,-6.0
17,0022400062,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,,37.000000:35,11.0,23.0,0.478,1.0,3.0,0.333,13.0,15.0,0.867,3.0,13.0,16.0,4.0,1.0,3.0,1.0,1.0,36.0,1.0
18,0022400062,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,G,,36.000000:02,6.0,14.0,0.429,0.0,5.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,4.0,1.0,1.0,0.0,4.0,12.0,12.0
19,0022400062,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,G,,34.000000:13,4.0,12.0,0.333,1.0,7.0,0.143,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,2.0,9.0,15.0
20,0022400062,1610612747,LAL,Los Angeles,1631108,Max Christie,Max,,,11.000000:25,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,-5.0
21,0022400062,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,,,17.000000:13,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,-2.0
22,0022400062,1610612747,LAL,Los Angeles,1629637,Jaxson Hayes,Jaxson,,,15.000000:20,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,10.0,-1.0
23,0022400062,1610612747,LAL,Los Angeles,1642261,Dalton Knecht,Dalton,,,15.000000:47,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,7.0
24,0022400062,1610612747,LAL,Los Angeles,1642355,Bronny James,Bronny,,,2.000000:41,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
25,0022400062,1610612747,LAL,Los Angeles,1641720,Jalen Hood-Schifino,Jalen,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
26,0022400062,1610612747,LAL,Los Angeles,1641721,Maxwell Lewis,Maxwell,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
27,0022400062,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0,0022400072,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,F,,19.000000:31,3.0,9.0,0.333,0.0,2.0,0.0,4.0,6.0,0.667,1.0,3.0,4.0,1.0,0.0,1.0,4.0,3.0,10.0,0.0
1,0022400072,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,F,,20.000000:26,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,6.0,6.0,3.0,1.0,2.0,3.0,3.0,8.0,12.0
2,0022400072,1610612744,GSW,Golden State,1631218,Trayce Jackson-Davis,Trayce,C,,24.000000:37,5.0,5.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,1.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,14.0,6.0
3,0022400072,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,G,,23.000000:04,8.0,15.0,0.533,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,20.0,9.0
4,0022400072,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,25.000000:04,4.0,10.0,0.4,3.0,7.0,0.429,6.0,6.0,1.0,0.0,9.0,9.0,10.0,2.0,0.0,2.0,0.0,17.0,23.0
5,0022400072,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,14.000000:44,8.0,12.0,0.667,5.0,7.0,0.714,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,22.0,21.0
6,0022400072,1610612744,GSW,Golden State,1627780,Gary Payton II,Gary,,,14.000000:29,3.0,4.0,0.75,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,8.0,26.0
7,0022400072,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,,,24.000000:56,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,4.0,1.0,0.0,3.0,3.0,0.0,35.0
8,0022400072,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,,,14.000000:05,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,3.0,2.0,14.0
9,0022400072,1610612744,GSW,Golden State,1629001,De'Anthony Melton,De'Anthony,,,19.000000:06,4.0,11.0,0.364,2.0,8.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,4.0,3.0,0.0,1.0,3.0,11.0,3.0
10,0022400072,1610612744,GSW,Golden State,203937,Kyle Anderson,Kyle,,,14.000000:51,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0
11,0022400072,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,,,14.000000:53,5.0,11.0,0.455,3.0,8.0,0.375,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,15.0,10.0
12,0022400072,1610612744,GSW,Golden State,1630322,Lindy Waters III,Lindy,,,5.000000:07,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0
13,0022400072,1610612744,GSW,Golden State,1630611,Gui Santos,Gui,,,5.000000:07,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0
14,0022400072,1610612757,POR,Portland,1641739,Toumani Camara,Toumani,F,,29.000000:53,3.0,8.0,0.375,2.0,4.0,0.5,3.0,4.0,0.75,4.0,2.0,6.0,4.0,2.0,0.0,2.0,4.0,11.0,-22.0
15,0022400072,1610612757,POR,Portland,203924,Jerami Grant,Jerami,F,,33.000000:10,6.0,18.0,0.333,2.0,8.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,16.0,-16.0
16,0022400072,1610612757,POR,Portland,1629028,Deandre Ayton,Deandre,C,,30.000000:57,5.0,12.0,0.417,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,2.0,2.0,0.0,1.0,2.0,10.0,-19.0
17,0022400072,1610612757,POR,Portland,1630166,Deni Avdija,Deni,G,,27.000000:29,4.0,10.0,0.4,0.0,3.0,0.0,7.0,8.0,0.875,2.0,5.0,7.0,2.0,2.0,2.0,4.0,2.0,15.0,-13.0
18,0022400072,1610612757,POR,Portland,1629014,Anfernee Simons,Anfernee,G,,32.000000:37,5.0,12.0,0.417,2.0,7.0,0.286,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,3.0,15.0,-16.0
19,0022400072,1610612757,POR,Portland,1630703,Scoot Henderson,Scoot,,,27.000000:54,7.0,18.0,0.389,0.0,5.0,0.0,8.0,9.0,0.889,1.0,3.0,4.0,4.0,0.0,0.0,2.0,3.0,22.0,-31.0
20,0022400072,1610612757,POR,Portland,1631200,Kris Murray,Kris,,,9.000000:55,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-18.0
21,0022400072,1610612757,POR,Portland,1641712,Rayan Rupert,Rayan,,,16.000000:57,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,6.0,-16.0
22,0022400072,1610612757,POR,Portland,1642270,Donovan Clingan,Donovan,,,12.000000:35,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,-9.0
23,0022400072,1610612757,POR,Portland,1630625,Dalano Banton,Dalano,,,8.000000:00,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,-10.0
24,0022400072,1610612757,POR,Portland,1631133,Jabari Walker,Jabari,,,7.000000:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-7.0
25,0022400072,1610612757,POR,Portland,1641871,Duop Reath,Duop,,,3.000000:16,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,-3.0
26,0022400072,1610612757,POR,Portland,1631101,Shaedon Sharpe,Shaedon,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
27,0022400072,1610612757,POR,Portland,1629680,Matisse Thybulle,Matisse,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
28,0022400072,1610612757,POR,Portland,1629057,Robert Williams III,Robert,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0,0022400071,1610612756,PHX,Phoenix,203078,Bradley Beal,Bradley,F,,38.000000:28,8.0,12.0,0.667,4.0,6.0,0.667,4.0,5.0,0.8,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,24.0,-1.0
